Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
GAS,92.323,21.0,INTERMEDIATE,21.0,Alpine,Melbourne,1,19.4,92.323,0.1362762548800131
GAS,92.355,22.0,INTERMEDIATE,22.0,Alpine,Melbourne,1,19.2,92.355,0.1474668466735352
GAS,92.438,23.0,INTERMEDIATE,23.0,Alpine,Melbourne,1,19.2,92.438,0.17649244413797288
GAS,92.035,24.0,INTERMEDIATE,24.0,Alpine,Melbourne,0,19.2,92.035,0.03556092873834905
GAS,91.622,25.0,INTERMEDIATE,25.0,Alpine,Melbourne,0,19.2,91.622,-0.1088676465967461
GAS,90.928,26.0,INTERMEDIATE,26.0,Alpine,Melbourne,1,19.2,90.928,-0.3515636061186764
GAS,90.635,27.0,INTERMEDIATE,27.0,Alpine,Melbourne,0,19.1,90.635,-0.4540274622280761
GAS,90.382,28.0,INTERMEDIATE,28.0,Alpine,Melbourne,0,19.1,90.382,-0.5425030785955807
GAS,90.051,29.0,INTERMEDIATE,29.0,Alpine,Melbourne,0,19.1,90.051,-0.6582557624597872
GAS,90.124,30.0,INTERMEDIATE,30.0,Alpine,Melbourne,0,19.1,90.124,-0.6327272249308258
GAS,89.299,31.0,INTERMEDIATE,31.0,Alpine,Melbourne,0,19.1,89.299,-0.921234669607467
GAS,89.383,32.0,INTERMEDIATE,32.0,Alpine,Melbourne,0,19.1,89.383,-0.8918593661494851
GAS,87.942,42.0,HARD,9.0,Alpine,Melbourne,0,19.3,87.942,-1.3957857028513596
GAS,85.02,43.0,HARD,10.0,Alpine,Melbourne,0,19.3,85.02,-2.4176266159970035
GAS,96.326,52.0,INTERMEDIATE,6.0,Alpine,Melbourne,0,18.7,96.326,1.5361493470504501
GAS,92.297,53.0,INTERMEDIATE,7.0,Alpine,Melbourne,0,18.7,92.297,0.12718389904778077
GAS,92.316,55.0,INTERMEDIATE,9.0,Alpine,Melbourne,0,18.7,92.316,0.13382831292518418
GAS,90.866,56.0,INTERMEDIATE,10.0,Alpine,Melbourne,0,18.7,90.866,-0.3732453777186174
